income_stability,average_eligible_emi,average_usable_salary,average_monthly_credit,employer_category,employment_tenure_years,average_month_end_balance,bounce_count,gambling_transaction_count,active_loans_count,has_credit_card,has_personal_loan,has_home_loan,credit_exposure_intensity,average_obligation_to_income_ratio,credit_score
UNSTABLE,111444.26,268789,283964.16,Category C (Partnership/Proprietorship),2.22,976110.61,0,0,3,0,1,1,3,91.98,565
FLUCTUATING,146969.09,292752,652543.89,Category C (Partnership/Proprietorship),0.41,407446.35,3,0,3,1,1,0,3,68.2,474
FLUCTUATING,22140.21,57599,104960.04,Category A (MNC/Govt/PSU),0.1,278486.97,0,0,1,0,0,1,2,82.94,592
STABLE,104402.72,199773,212363.91,Category A (MNC/Govt/PSU),5.01,638068.95,0,0,2,1,0,0,3,21.84,777
FLUCTUATING,106060.66,209294,352229.0,Category A (MNC/Govt/PSU),8.4,586385.26,2,0,4,1,1,1,4,25.55,641
STABLE,19502.13,46445,137742.88,Category B (Private Ltd),3.49,165648.19,0,0,4,1,1,0,4,39.04,729
STABLE,161424.06,295950,690943.72,Category A (MNC/Govt/PSU),7.25,518659.98,0,0,4,1,1,0,4,28.11,766
STABLE,127260.66,258178,651917.03,Category B (Private Ltd),1.55,5357.3,0,0,4,1,1,1,5,72.48,584
STABLE,92143.97,184001,483928.27,Category A (MNC/Govt/PSU),1.76,17788.94,1,0,3,1,1,0,3,18.66,647
STABLE,28514.43,70091,180682.54,Category A (MNC/Govt/PSU),5.1,254119.78,1,0,3,1,0,1,4,13.78,717
STABLE,92051.9,180457,454343.13,Category A (MNC/Govt/PSU),3.53,846989.84,0,0,5,1,1,1,5,43.51,758
FLUCTUATING,50278.57,113863,225519.9,Category C (Partnership/Proprietorship),8.92,204935.11,0,0,2,1,0,0,3,77.49,650
STABLE,30056.58,50643,128954.06,Category A (MNC/Govt/PSU),7.54,2545.4,0,0,2,0,1,0,3,34.68,696
STABLE,85025.55,169472,280903.27,Category A (MNC/Govt/PSU),1.02,258369.28,0,0,4,1,1,1,4,30.19,752
FLUCTUATING,46920.81,80400,227865.95,Category B (Private Ltd),3.11,279789.31,0,0,2,0,1,0,2,33.95,690
STABLE,45738.71,135695,169263.46,Category B (Private Ltd),6.64,49708.25,0,0,0,0,0,0,1,48.55,731
STABLE,127503.68,278137,390549.37,Category A (MNC/Govt/PSU),2.42,1210845.48,0,0,2,1,0,0,3,59.99,757
STABLE,59734.57,129324,149364.99,Category A (MNC/Govt/PSU),0.54,605149.16,0,0,2,0,1,0,3,40.74,762
FLUCTUATING,41786.16,127174,134161.08,Category B (Private Ltd),25.24,8970.6,0,0,3,1,0,1,3,12.76,650
FLUCTUATING,23305.74,68382,182727.49,Category A (MNC/Govt/PSU),1.79,135880.1,0,0,0,0,0,0,0,93.86,594
STABLE,17920.25,56737,127753.7,Category A (MNC/Govt/PSU),9.05,154871.39,0,0,4,1,1,1,5,37.1,759
STABLE,94403.08,159725,166747.09,Category C (Partnership/Proprietorship),7.76,135927.21,0,0,5,1,1,1,6,94.99,627
STABLE,17108.4,45863,123114.06,Category A (MNC/Govt/PSU),0.38,97785.72,1,0,2,0,1,1,3,90.57,623
STABLE,7308.44,17373,19152.84,Category B (Private Ltd),0.66,32720.43,0,0,1,0,0,0,2,41.16,690
STABLE,133176.92,246836,595974.82,Category A (MNC/Govt/PSU),2.28,16424.12,0,1,1,1,0,0,2,43.17,622
STABLE,112173.02,240596,324563.28,Category A (MNC/Govt/PSU),9.26,799615.28,1,0,4,1,1,1,4,18.06,726
FLUCTUATING,110252.08,209176,462996.94,Category A (MNC/Govt/PSU),7.98,128319.37,0,0,2,0,0,1,3,19.83,681
STABLE,87362.51,174052,518935.62,Category C (Partnership/Proprietorship),3.2,194027.08,0,0,3,0,1,0,4,83.4,630
STABLE,107907.49,185324,433978.73,Category B (Private Ltd),3.01,892472.43,0,0,0,0,0,0,0,82.2,671
FLUCTUATING,151617.24,294928,417329.9,Category B (Private Ltd),10.11,1427344.08,0,0,2,1,1,0,3,90.89,630
UNSTABLE,45722.7,117800,276135.58,Category C (Partnership/Proprietorship),2.32,8633.32,0,0,5,1,1,1,6,58.08,550
STABLE,58427.28,142903,314698.46,Category C (Partnership/Proprietorship),10.98,528230.64,0,0,0,0,0,0,0,57.77,770
STABLE,10624.13,21017,50766.7,Category A (MNC/Govt/PSU),0.4,48826.91,0,0,2,0,0,0,3,84.08,622
STABLE,36956.97,88858,136354.14,Category B (Private Ltd),0.5,4202.9,0,0,3,1,1,0,4,18.94,630
STABLE,131467.92,242682,643227.99,Category C (Partnership/Proprietorship),2.67,361014.16,3,0,2,0,0,1,2,75.95,572
UNSTABLE,69662.35,118775,337234.27,Category A (MNC/Govt/PSU),1.17,540294.59,0,0,1,0,0,1,2,78.07,642
STABLE,81486.94,256222,725587.38,Category B (Private Ltd),1.07,884433.27,0,0,4,1,0,1,4,90.56,678
FLUCTUATING,55253.89,108971,249673.46,Category C (Partnership/Proprietorship),6.6,540582.53,0,0,5,1,1,1,6,65.14,648
FLUCTUATING,64378.33,188157,354845.67,Category B (Private Ltd),9.45,867401.34,0,0,5,1,1,1,5,59.56,703
STABLE,101639.94,222498,232996.33,Category B (Private Ltd),1.78,266938.16,0,0,0,0,0,0,0,46.11,721
FLUCTUATING,54594.95,103286,207628.73,Unlisted,3.13,3470.89,0,0,1,0,1,0,2,75.18,523
STABLE,35624.9,68453,102973.02,Category B (Private Ltd),0.39,232474.42,0,0,4,1,0,1,5,70.17,702
STABLE,134946.61,271498,379123.21,Category A (MNC/Govt/PSU),37.69,615958.86,0,0,1,0,1,0,1,18.05,786
STABLE,81283.77,169277,190429.77,Category C (Partnership/Proprietorship),1.31,831675.89,0,0,2,0,0,1,3,51.37,735
FLUCTUATING,60505.56,188394,540326.42,Category C (Partnership/Proprietorship),5.36,623225.25,2,0,1,0,0,1,2,53.96,598
STABLE,98166.35,189412,428022.78,Category A (MNC/Govt/PSU),2.6,140061.17,0,0,2,1,1,0,2,23.91,723
STABLE,99935.74,236118,338923.68,Unlisted,0.7,76508.62,0,0,5,1,1,1,5,16.81,677
FLUCTUATING,110438.97,221979,349291.45,Category B (Private Ltd),1.64,1028031.32,0,0,1,0,0,0,1,17.72,707
STABLE,102559.27,197934,586185.96,Category A (MNC/Govt/PSU),1.28,792565.52,0,0,0,0,0,0,0,12.11,766
STABLE,155761.83,279388,409361.46,Category A (MNC/Govt/PSU),1.97,1296746.81,1,0,2,0,1,1,2,70.74,673
STABLE,75368.53,161152,269573.04,Category B (Private Ltd),19.38,552023.83,0,0,2,1,0,1,2,36.97,764
STABLE,91671.98,173522,420969.33,Category A (MNC/Govt/PSU),0.27,830275.14,0,0,0,0,0,0,1,59.04,749
STABLE,51491.28,101141,214442.38,Category A (MNC/Govt/PSU),2.73,23075.39,0,0,4,1,1,1,5,70.08,693
STABLE,19437.41,47276,101068.66,Category C (Partnership/Proprietorship),14.23,29111.37,0,0,2,1,1,0,2,14.18,705
STABLE,95643.74,219272,351564.17,Category A (MNC/Govt/PSU),9.63,330467.88,0,0,4,1,0,1,4,59.44,784
STABLE,14099.87,34406,89944.65,Category B (Private Ltd),0.62,2006.47,1,0,2,1,1,0,3,61.46,565
STABLE,84694.75,184469,428995.84,Category B (Private Ltd),2.75,307578.12,0,0,2,1,0,0,3,75.21,721
STABLE,148566.84,292533,617754.11,Category B (Private Ltd),2.66,20453.58,0,0,0,0,0,0,1,61.82,670
STABLE,16954.33,46069,101534.36,Category B (Private Ltd),0.47,67389.0,0,0,0,0,0,0,1,46.63,700
FLUCTUATING,119066.04,281731,523410.53,Category B (Private Ltd),3.68,4480.12,0,0,0,0,0,0,0,39.47,595
FLUCTUATING,55813.95,106651,139068.68,Category A (MNC/Govt/PSU),2.12,147441.98,0,0,4,1,1,1,5,63.87,639
FLUCTUATING,94680.18,190645,279557.08,Category C (Partnership/Proprietorship),1.85,52884.6,0,0,2,1,1,0,2,16.18,641
FLUCTUATING,63162.11,164030,257159.08,Category B (Private Ltd),6.36,513119.97,0,0,3,1,0,0,3,35.74,690
FLUCTUATING,61297.4,105872,221290.14,Category B (Private Ltd),11.68,3270.08,0,0,2,1,0,1,2,45.28,608
FLUCTUATING,45463.51,103190,225222.73,Category C (Partnership/Proprietorship),10.98,38051.68,0,0,4,1,0,1,4,91.73,599
STABLE,73127.53,126074,212963.34,Category A (MNC/Govt/PSU),4.14,27532.72,0,0,0,0,0,0,1,19.63,754
STABLE,137372.69,263564,728599.35,Category B (Private Ltd),6.88,969828.48,0,0,3,0,1,0,3,24.92,750
STABLE,121057.91,275406,310210.86,Category B (Private Ltd),4.6,26859.53,0,0,3,1,0,1,4,61.91,650
STABLE,97179.86,214335,560137.03,Category A (MNC/Govt/PSU),4.62,204304.74,0,0,1,0,1,0,2,21.75,718
STABLE,14362.91,36382,89444.44,Category C (Partnership/Proprietorship),13.96,155816.28,0,0,5,1,1,1,6,43.87,710
STABLE,51549.94,133662,390723.82,Category A (MNC/Govt/PSU),0.52,63365.89,0,0,2,0,0,0,2,46.83,732
FLUCTUATING,120082.62,219417,467288.63,Category A (MNC/Govt/PSU),0.53,15356.41,0,0,0,0,0,0,1,55.51,641
FLUCTUATING,115564.4,213990,612922.61,Category C (Partnership/Proprietorship),6.89,104350.24,0,0,0,0,0,0,0,34.64,662
STABLE,90978.07,229188,657842.25,Category A (MNC/Govt/PSU),2.47,16121.13,0,0,1,0,0,0,1,71.13,653
STABLE,38009.94,95192,254629.25,Category A (MNC/Govt/PSU),3.54,409742.18,0,0,2,1,0,1,2,61.21,725
STABLE,70154.63,134746,402102.21,Category B (Private Ltd),2.31,591479.04,0,0,3,1,1,0,3,70.79,720
STABLE,119748.59,265564,309602.26,Category B (Private Ltd),2.08,607200.17,0,0,1,0,0,0,2,12.53,741
STABLE,66136.89,143558,388885.73,Category A (MNC/Govt/PSU),13.8,12314.19,0,0,0,0,0,0,0,50.55,724
STABLE,78459.37,176305,215668.95,Category A (MNC/Govt/PSU),8.09,442812.55,0,0,2,0,1,1,2,75.05,750
STABLE,84467.39,156320,274241.18,Unlisted,0.36,14605.04,0,0,3,0,0,1,4,67.15,607
STABLE,119953.39,206701,226736.21,Category A (MNC/Govt/PSU),4.17,80587.77,0,0,4,1,1,1,5,64.24,687
STABLE,29286.27,66176,108165.89,Category C (Partnership/Proprietorship),3.45,271152.53,1,0,3,0,1,0,3,58.14,671
FLUCTUATING,70658.27,191693,530029.27,Category A (MNC/Govt/PSU),6.99,449425.46,0,0,5,1,1,1,6,45.16,706
FLUCTUATING,96762.7,213754,350147.83,Unlisted,13.52,475556.31,0,0,4,0,1,1,5,45.22,669
STABLE,8870.51,18749,42846.26,Category C (Partnership/Proprietorship),1.73,827.03,0,0,2,0,0,0,3,53.24,550
UNSTABLE,49717.48,89944,144487.52,Category B (Private Ltd),3.18,1150.94,1,0,5,1,1,1,5,17.09,502
FLUCTUATING,88144.54,201848,486760.11,Category C (Partnership/Proprietorship),1.35,420164.9,0,0,4,0,1,1,4,55.35,653
STABLE,30586.25,79672,110189.77,Category B (Private Ltd),10.04,45968.67,0,0,5,1,1,1,6,79.43,688
FLUCTUATING,82436.3,196023,225937.07,Category C (Partnership/Proprietorship),4.8,2126.42,0,0,5,1,1,1,5,48.61,554
FLUCTUATING,39426.58,113915,310524.1,Category A (MNC/Govt/PSU),4.47,32618.77,1,0,2,0,1,1,3,76.73,601
STABLE,45376.11,104488,277818.73,Category A (MNC/Govt/PSU),3.15,253388.29,1,0,5,1,1,1,5,44.34,723
UNSTABLE,121941.15,242366,619737.56,Category A (MNC/Govt/PSU),4.59,13277.04,0,0,0,0,0,0,1,46.76,601
UNSTABLE,34242.67,75908,103633.42,Category B (Private Ltd),5.07,284185.77,0,0,4,1,1,1,5,35.3,643
STABLE,129392.96,282983,443151.74,Category A (MNC/Govt/PSU),26.1,1083491.07,0,0,1,1,0,0,1,37.21,798
STABLE,103850.48,271413,796727.41,Category A (MNC/Govt/PSU),31.7,303388.3,0,0,0,0,0,0,1,54.88,773
STABLE,27284.92,47412,86104.03,Category A (MNC/Govt/PSU),3.64,192540.0,0,0,3,0,0,1,3,87.13,683
STABLE,120933.51,285890,561485.05,Category A (MNC/Govt/PSU),1.63,1354143.07,0,0,5,1,1,1,6,23.79,755
FLUCTUATING,55940.02,155720,462213.99,Category C (Partnership/Proprietorship),7.44,383691.48,0,0,0,0,0,0,0,63.22,652
STABLE,29737.38,75888,175396.81,Category A (MNC/Govt/PSU),1.65,228023.31,0,0,5,1,1,1,6,34.46,733
FLUCTUATING,111859.62,199977,399780.61,Category B (Private Ltd),4.72,166734.59,0,0,4,0,1,1,4,79.52,637
STABLE,98348.12,298889,583465.22,Unlisted,7.36,779179.44,0,0,4,1,1,0,4,75.55,681
STABLE,113542.15,237650,418228.02,Category B (Private Ltd),4.65,602381.95,0,0,2,1,0,0,2,32.36,747
FLUCTUATING,97432.67,187265,425443.45,Category C (Partnership/Proprietorship),0.43,301135.87,0,0,2,1,0,0,2,45.73,657
STABLE,18248.99,53013,117864.4,Category B (Private Ltd),6.27,242737.09,1,0,2,1,1,0,3,35.69,699
STABLE,8693.1,26105,75570.22,Category B (Private Ltd),0.05,10993.65,0,0,3,0,0,1,3,62.12,677
STABLE,38316.64,89064,235027.04,Unlisted,0.64,139443.71,0,0,1,0,0,0,1,79.06,694
STABLE,71163.3,122945,277467.89,Category A (MNC/Govt/PSU),1.47,604704.49,1,0,2,0,0,1,3,79.45,684
STABLE,39377.03,121573,133380.83,Category B (Private Ltd),2.95,97931.29,0,0,1,0,0,1,2,16.1,729
STABLE,125943.25,238748,528117.18,Category B (Private Ltd),0.28,15764.4,0,0,0,0,0,0,1,34.1,679
STABLE,64781.94,195221,387623.53,Category A (MNC/Govt/PSU),19.14,10516.97,0,0,0,0,0,0,1,34.9,733
FLUCTUATING,83839.3,260699,394531.75,Category C (Partnership/Proprietorship),3.27,241667.08,0,0,2,1,0,0,2,10.46,652
UNSTABLE,37032.35,74591,140639.23,Unlisted,1.41,187619.47,0,0,2,0,1,0,3,28.24,604
STABLE,15765.22,33341,70261.35,Category A (MNC/Govt/PSU),0.29,3312.41,0,0,3,1,0,1,3,91.65,580
UNSTABLE,92771.61,169011,287252.23,Category B (Private Ltd),0.69,11114.36,0,0,2,0,1,0,2,64.89,539
STABLE,76887.06,129119,148743.41,Category B (Private Ltd),0.97,463376.32,0,0,3,1,1,1,4,43.16,723
STABLE,60602.79,175029,474553.91,Category B (Private Ltd),0.56,471175.02,0,0,4,0,1,1,4,32.36,749
STABLE,26552.83,55708,65648.78,Category B (Private Ltd),0.96,161192.27,0,0,0,0,0,0,1,92.95,637
STABLE,18114.39,58926,154416.66,Category B (Private Ltd),1.63,1451.04,1,0,0,0,0,0,0,15.58,580
STABLE,57185.36,139789,200405.5,Category B (Private Ltd),17.65,8910.22,0,0,3,0,1,1,3,80.14,625
STABLE,110198.8,281530,383899.07,Category A (MNC/Govt/PSU),6.26,20300.22,0,0,2,0,1,0,2,41.26,699
FLUCTUATING,124880.4,250201,583360.85,Category A (MNC/Govt/PSU),3.08,7239.19,0,0,4,1,1,0,4,29.34,569
STABLE,91027.09,282217,357965.41,Category B (Private Ltd),2.08,811554.15,0,0,2,0,0,1,2,55.59,749
STABLE,6600.59,14695,17457.39,Category A (MNC/Govt/PSU),20.59,25544.86,3,0,0,0,0,0,0,13.41,606
STABLE,79857.85,145222,348002.41,Category A (MNC/Govt/PSU),2.05,43017.78,0,0,3,1,1,0,4,21.91,714
FLUCTUATING,5547.79,13770,17577.28,Category B (Private Ltd),3.43,47610.72,0,0,2,0,1,0,2,78.64,608
FLUCTUATING,42811.75,106748,228330.21,Category C (Partnership/Proprietorship),0.41,9236.75,0,0,3,0,1,1,4,80.8,496
STABLE,69610.8,149045,431151.01,Category B (Private Ltd),1.98,695466.82,0,2,1,1,0,0,1,51.51,634
STABLE,46173.53,112395,226095.86,Category B (Private Ltd),6.52,353019.75,0,0,4,1,1,1,5,32.05,759
STABLE,110382.12,216271,557564.2,Category A (MNC/Govt/PSU),2.59,242437.91,0,0,1,0,0,0,1,24.18,727
STABLE,42270.27,112488,299137.94,Category C (Partnership/Proprietorship),14.56,379923.18,0,0,4,1,0,1,4,26.03,752
STABLE,50832.52,93583,231247.47,Category B (Private Ltd),0.6,243452.88,1,0,0,0,0,0,1,72.32,667
STABLE,137911.35,283363,683878.79,Category A (MNC/Govt/PSU),2.66,1325054.47,0,0,0,0,0,0,1,41.54,773
STABLE,97570.54,190680,377252.71,Category A (MNC/Govt/PSU),1.26,594936.9,0,0,4,1,0,1,4,82.26,679
STABLE,21991.73,60613,62041.03,Unlisted,1.65,63526.98,0,0,1,0,0,0,1,66.97,634
FLUCTUATING,41978.71,104702,148929.85,Category A (MNC/Govt/PSU),0.99,220554.45,0,0,3,0,1,1,3,88.73,623
STABLE,97817.93,298516,734060.95,Category A (MNC/Govt/PSU),5.71,268283.51,0,0,2,0,1,1,3,13.48,745
STABLE,64233.72,111398,134686.4,Category A (MNC/Govt/PSU),4.07,543274.39,0,0,4,1,0,1,4,74.26,738
STABLE,6612.73,16704,36475.12,Category A (MNC/Govt/PSU),0.8,1388.25,0,0,0,0,0,0,0,71.31,595
STABLE,75179.35,145174,389596.31,Category A (MNC/Govt/PSU),1.9,50947.45,0,0,4,1,1,0,4,75.01,687
STABLE,126234.71,275415,560541.04,Category B (Private Ltd),6.92,152333.17,0,0,3,1,0,0,3,57.22,722
STABLE,41474.73,108662,145475.92,Category B (Private Ltd),6.35,406839.89,0,0,2,0,0,1,2,20.78,764
STABLE,5585.2,14576,43631.31,Category C (Partnership/Proprietorship),5.17,6354.73,0,0,1,1,0,0,1,11.35,643
STABLE,102191.99,237021,369501.25,Category B (Private Ltd),0.28,17201.39,0,0,2,0,1,0,3,44.63,655
STABLE,45380.34,79487,101698.94,Category A (MNC/Govt/PSU),2.76,222838.27,0,0,0,0,0,0,1,39.03,738
STABLE,80280.64,154954,334649.27,Category A (MNC/Govt/PSU),5.61,12787.92,3,0,1,0,0,1,1,13.95,599
STABLE,30061.13,88784,167940.04,Category C (Partnership/Proprietorship),11.01,258552.87,0,0,1,0,0,0,2,57.56,760
STABLE,45752.07,109596,265950.42,Category B (Private Ltd),4.9,220783.31,0,0,5,1,1,1,6,70.25,704
STABLE,67739.18,169236,177949.08,Category A (MNC/Govt/PSU),8.13,454812.94,0,0,0,0,0,0,1,11.11,776
STABLE,111887.55,277926,791654.67,Category A (MNC/Govt/PSU),4.35,348168.44,0,0,3,0,1,1,3,10.06,723
FLUCTUATING,18027.05,48712,74380.64,Category A (MNC/Govt/PSU),0.66,83445.62,0,0,3,0,1,1,4,82.64,587
FLUCTUATING,74808.28,236022,284828.96,Category B (Private Ltd),1.31,334388.89,1,0,2,1,0,1,2,40.13,619
STABLE,132324.63,255318,485941.13,Category C (Partnership/Proprietorship),14.42,738209.49,0,0,1,0,0,0,1,27.53,750
STABLE,29037.81,66494,147044.73,Category B (Private Ltd),2.41,194689.91,0,0,1,1,0,0,2,79.76,705
FLUCTUATING,137586.41,239766,296524.48,Category B (Private Ltd),1.44,637547.8,0,0,4,1,1,1,5,21.59,674
STABLE,16936.42,55647,119623.14,Category B (Private Ltd),2.35,2710.29,3,0,1,0,0,1,2,76.0,468
UNSTABLE,44650.52,96928,202307.26,Category B (Private Ltd),2.45,40214.29,0,0,0,0,0,0,1,85.46,554
FLUCTUATING,8122.77,19422,31720.1,Category B (Private Ltd),0.82,78618.01,0,0,2,0,1,0,2,93.53,538
STABLE,75071.58,177731,293097.65,Category C (Partnership/Proprietorship),7.11,73647.08,0,0,3,1,0,1,3,78.48,694
STABLE,37818.16,88018,207674.21,Category B (Private Ltd),7.33,217366.0,0,0,3,1,1,0,3,25.17,760
STABLE,40990.82,108384,293362.21,Category C (Partnership/Proprietorship),7.4,9100.15,0,0,5,1,1,1,5,20.36,664
STABLE,96749.62,218590,377511.25,Category B (Private Ltd),11.58,9689.39,0,0,5,1,1,1,6,89.21,588
STABLE,19078.12,59810,131942.52,Category A (MNC/Govt/PSU),11.21,204123.88,0,0,1,0,0,0,2,84.7,703
STABLE,60792.24,179564,188958.19,Category B (Private Ltd),4.63,237603.64,0,0,2,0,0,1,2,13.05,724
STABLE,101276.61,192088,473191.6,Category C (Partnership/Proprietorship),1.12,673039.16,0,0,1,1,0,0,1,76.64,685
STABLE,46187.11,93038,135542.57,Category A (MNC/Govt/PSU),1.89,3217.66,0,0,0,0,0,0,1,18.88,669
STABLE,13262.79,40346,114790.21,Category B (Private Ltd),2.26,57910.8,0,0,0,0,0,0,1,48.09,703
STABLE,73670.66,146427,372580.65,Category B (Private Ltd),4.81,657697.16,0,0,3,1,0,0,4,44.89,763
FLUCTUATING,161528.74,294833,429060.17,Category B (Private Ltd),8.2,967820.65,0,0,4,1,0,1,5,76.06,687
FLUCTUATING,71263.04,154905,171249.53,Category B (Private Ltd),14.25,107018.99,0,0,2,0,0,1,2,83.97,621
STABLE,9515.19,26978,78790.13,Category B (Private Ltd),8.08,48946.21,0,0,3,0,1,0,3,63.7,718
STABLE,171967.13,291620,300284.68,Category B (Private Ltd),2.03,857126.58,0,0,1,1,0,0,2,68.3,728
STABLE,75277.78,145009,299552.76,Unlisted,15.13,570300.94,0,0,3,1,0,0,4,55.09,742
FLUCTUATING,73224.71,198489,293648.23,Category A (MNC/Govt/PSU),1.31,167832.87,0,0,1,0,1,0,1,73.6,618
STABLE,99875.23,239707,262438.72,Category C (Partnership/Proprietorship),4.64,13072.32,0,0,5,1,1,1,6,35.94,653
STABLE,117398.42,277885,433758.05,Category C (Partnership/Proprietorship),1.39,16029.81,0,0,2,0,1,1,2,65.67,633
STABLE,98031.6,289965,831396.57,Category C (Partnership/Proprietorship),1.33,905022.42,2,0,5,1,1,1,5,36.4,651
UNSTABLE,77389.78,183717,505358.16,Category B (Private Ltd),2.58,10950.03,0,0,2,1,1,0,3,76.41,551
STABLE,92755.97,184898,257658.61,Category C (Partnership/Proprietorship),0.56,480334.27,1,0,5,1,1,1,6,58.62,679
STABLE,105831.64,238208,417488.97,Category A (MNC/Govt/PSU),0.27,546408.47,0,0,1,0,0,0,2,51.34,767
STABLE,101579.56,262856,386928.2,Category C (Partnership/Proprietorship),0.21,2789.15,0,0,4,1,1,1,5,34.55,590
STABLE,10873.28,18720,38194.8,Category A (MNC/Govt/PSU),10.33,33846.53,0,0,0,0,0,0,0,68.56,700
STABLE,9441.06,31381,89806.03,Category A (MNC/Govt/PSU),2.61,71834.48,1,0,1,0,1,0,2,24.79,705
UNSTABLE,110149.02,235692,414564.02,Category B (Private Ltd),4.14,381001.43,0,0,5,1,1,1,6,18.3,644
STABLE,99710.46,214249,368312.52,Category A (MNC/Govt/PSU),4.45,251607.4,0,0,4,1,1,1,5,18.24,733
FLUCTUATING,148671.18,289778,682335.53,Category A (MNC/Govt/PSU),2.65,989063.87,0,0,2,0,0,1,3,77.22,689
UNSTABLE,81214.21,224801,335944.92,Unlisted,0.55,4878.71,0,0,5,1,1,1,5,50.46,492
STABLE,75370.28,247778,573417.18,Category A (MNC/Govt/PSU),4.73,456873.16,0,0,1,0,1,0,1,54.26,764
STABLE,37757.84,78232,106285.41,Category A (MNC/Govt/PSU),0.13,319949.25,0,0,4,1,1,1,5,67.14,691
STABLE,147351.39,290083,331226.16,Category A (MNC/Govt/PSU),7.38,918093.55,0,0,0,0,0,0,0,77.0,745
STABLE,47806.84,131173,141753.46,Category A (MNC/Govt/PSU),0.98,289703.12,0,0,1,0,1,0,2,12.48,754
UNSTABLE,85778.98,220171,601921.55,Category C (Partnership/Proprietorship),9.75,182405.07,0,0,5,1,1,1,5,15.53,627
STABLE,92613.29,162215,442597.33,Category B (Private Ltd),6.82,657743.39,0,0,3,1,0,1,4,24.45,766
STABLE,81238.66,171848,228084.91,Category A (MNC/Govt/PSU),0.14,15325.91,0,0,1,0,0,0,2,47.09,690
STABLE,46489.49,104024,262675.39,Category C (Partnership/Proprietorship),2.14,255719.28,0,2,0,0,0,0,1,29.84,606
STABLE,132543.26,250515,474641.97,Category C (Partnership/Proprietorship),4.82,6029.85,0,0,1,0,0,0,1,49.85,620
STABLE,63388.68,140842,186081.34,Category A (MNC/Govt/PSU),1.96,73248.41,0,0,5,1,1,1,6,69.76,687
STABLE,137254.98,258966,761130.53,Category C (Partnership/Proprietorship),0.97,16053.18,0,0,4,1,1,1,4,36.95,654
STABLE,98638.64,242409,646019.36,Category C (Partnership/Proprietorship),2.76,2458.66,0,0,3,0,1,1,3,75.65,599
STABLE,71864.67,134926,288926.0,Category C (Partnership/Proprietorship),0.81,191255.43,0,0,2,0,0,0,3,36.29,705
STABLE,99416.9,177071,187829.69,Category C (Partnership/Proprietorship),0.24,458006.81,0,0,3,1,1,1,4,71.86,689
STABLE,92902.51,177229,196031.54,Category B (Private Ltd),1.51,257757.66,3,0,0,0,0,0,1,33.67,603
STABLE,52627.52,91462,258265.36,Category C (Partnership/Proprietorship),1.1,107753.67,0,0,0,0,0,0,1,78.3,684
UNSTABLE,30925.77,71748,146391.85,Category A (MNC/Govt/PSU),0.08,111445.96,0,0,2,0,1,1,2,67.55,616
STABLE,26886.7,45814,46090.8,Category A (MNC/Govt/PSU),13.14,167624.94,0,0,4,1,1,1,4,29.68,751
STABLE,67409.01,197964,383516.31,Unlisted,1.03,984392.29,0,0,0,0,0,0,0,46.08,712
STABLE,137452.84,275161,655352.88,Category C (Partnership/Proprietorship),0.62,1333814.9,1,0,2,0,1,0,3,82.86,592
STABLE,13600.81,32063,63061.0,Category A (MNC/Govt/PSU),2.2,1732.11,0,0,1,0,0,1,2,11.91,669
STABLE,69693.94,118007,140406.6,Category A (MNC/Govt/PSU),2.61,109798.21,0,0,4,1,1,1,5,72.4,677
STABLE,35605.83,65781,152500.82,Category A (MNC/Govt/PSU),3.6,131135.83,0,0,4,1,1,1,4,40.38,736
STABLE,76390.55,151609,171953.03,Category B (Private Ltd),7.39,154420.72,1,0,3,0,1,1,3,34.88,697
UNSTABLE,16136.23,40916,57452.87,Unlisted,2.93,1140.68,0,2,5,1,1,1,5,37.95,359
STABLE,34350.97,94179,124059.58,Category A (MNC/Govt/PSU),0.56,7762.02,0,0,0,0,0,0,0,55.72,678
FLUCTUATING,44293.74,85010,187257.82,Category B (Private Ltd),0.04,44051.58,0,0,1,0,0,0,1,70.7,637
FLUCTUATING,8956.19,20567,37350.5,Category B (Private Ltd),1.44,90740.54,0,0,0,0,0,0,1,19.02,648
STABLE,137308.34,233717,279388.7,Category A (MNC/Govt/PSU),0.88,248674.46,0,0,3,1,1,0,4,61.38,700
STABLE,29878.15,69622,134682.55,Category A (MNC/Govt/PSU),11.25,340906.43,0,0,2,0,1,0,3,52.91,755
STABLE,21391.84,51722,94975.11,Category B (Private Ltd),4.03,86313.92,1,0,1,0,1,0,2,65.35,658
STABLE,81162.12,170811,297711.05,Category B (Private Ltd),3.85,161861.83,1,0,5,1,1,1,5,13.03,680
UNSTABLE,6932.18,22809,30641.65,Category B (Private Ltd),0.13,681.92,0,0,2,0,0,1,2,24.48,484
STABLE,65497.25,156075,438383.91,Unlisted,21.8,326878.55,0,0,5,1,1,1,6,36.3,716
STABLE,56982.51,185403,478600.38,Category A (MNC/Govt/PSU),1.73,8131.43,0,0,3,1,1,0,3,49.06,633
FLUCTUATING,141229.79,269285,757215.24,Category C (Partnership/Proprietorship),5.61,878131.3,0,0,4,1,1,1,4,85.58,583
STABLE,13410.43,26427,73115.57,Category B (Private Ltd),1.88,33200.72,0,0,3,1,1,1,3,44.32,694
STABLE,89697.93,209867,274070.3,Category C (Partnership/Proprietorship),3.57,325726.37,0,0,2,0,0,0,3,46.22,739
